Name,Category,Color,Location / Address,Latitude,Longitude,Recommendation,Google Maps,Official / Tour Page
Telegraph Hill,"Parks, Hills & Views",#34A853,"Telegraph Hill, San Francisco, CA",37.8024,-122.4058,Best experienced as the full climb starting from the waterfront.,https://www.google.com/maps/search/?api=1&query=Telegraph%20Hill%2C%20San%20Francisco%2C%20CA,
Dolores Park,"Parks, Hills & Views",#34A853,"Mission Dolores Park, San Francisco, CA",37.7596,-122.4269,One of the favorite parks in the city.,https://www.google.com/maps/search/?api=1&query=Mission%20Dolores%20Park%2C%20San%20Francisco%2C%20CA,
Alta Plaza Park,"Parks, Hills & Views",#34A853,"Alta Plaza Park, San Francisco, CA",37.7912,-122.4377,A favorite hilltop park.,https://www.google.com/maps/search/?api=1&query=Alta%20Plaza%20Park%2C%20San%20Francisco%2C%20CA,
Corona Heights,"Parks, Hills & Views",#34A853,"Corona Heights Park, San Francisco, CA",37.7649,-122.4387,At the very top of the favorites list.,https://www.google.com/maps/search/?api=1&query=Corona%20Heights%20Park%2C%20San%20Francisco%2C%20CA,
Buena Vista Park,"Parks, Hills & Views",#34A853,"Buena Vista Park, San Francisco, CA",37.7689,-122.4414,A great climb and one of the top favorites.,https://www.google.com/maps/search/?api=1&query=Buena%20Vista%20Park%2C%20San%20Francisco%2C%20CA,
Lands End,"Parks, Hills & Views",#34A853,"Lands End Lookout, 680 Point Lobos Ave, San Francisco, CA 94121",37.7803,-122.513,Favorite hike of all. Start about one hour before sunset on a clear day.,https://www.google.com/maps/search/?api=1&query=Lands%20End%20Lookout%2C%20680%20Point%20Lobos%20Ave%2C%20San%20Francisco%2C%20CA%2094121,
Ina Coolbrith Park,"Parks, Hills & Views",#34A853,"Ina Coolbrith Park, San Francisco, CA",37.7984,-122.4146,A great small park with a rewarding climb and view.,https://www.google.com/maps/search/?api=1&query=Ina%20Coolbrith%20Park%2C%20San%20Francisco%2C%20CA,
Golden Gate Park,"Parks, Hills & Views",#34A853,"Golden Gate Park, San Francisco, CA",37.7694,-122.4862,"A major favorite, especially together with the Conservatory of Flowers, de Young Museum and Botanical Garden.",https://www.google.com/maps/search/?api=1&query=Golden%20Gate%20Park%2C%20San%20Francisco%2C%20CA,
North Beach,Neighborhood Walks,#4285F4,"Washington Square, San Francisco, CA",37.8009,-122.4102,"A great neighborhood for a relaxed, unstructured walk.",https://www.google.com/maps/search/?api=1&query=Washington%20Square%2C%20San%20Francisco%2C%20CA,
Dolores Heights,Neighborhood Walks,#4285F4,"Dolores Heights, San Francisco, CA",37.7569,-122.4315,Walk around for the beautiful houses and architecture.,https://www.google.com/maps/search/?api=1&query=Dolores%20Heights%2C%20San%20Francisco%2C%20CA,
Billionaire’s Row,Neighborhood Walks,#4285F4,"Broadway and Lyon Street, San Francisco, CA",37.7936,-122.4462,A favorite architecture walk through the grand houses of Outer Broadway.,https://www.google.com/maps/search/?api=1&query=Broadway%20and%20Lyon%20Street%2C%20San%20Francisco%2C%20CA,
Presidio Heights,Neighborhood Walks,#4285F4,"Presidio Heights, San Francisco, CA",37.7878,-122.4489,Excellent for a residential architecture walk.,https://www.google.com/maps/search/?api=1&query=Presidio%20Heights%2C%20San%20Francisco%2C%20CA,
Sea Cliff,Neighborhood Walks,#4285F4,"Sea Cliff, San Francisco, CA",37.7882,-122.4886,Best combined with a Lands End walk.,https://www.google.com/maps/search/?api=1&query=Sea%20Cliff%2C%20San%20Francisco%2C%20CA,
Conservatory of Flowers,"Architecture, Museums & Gardens",#A142F4,"100 John F Kennedy Dr, San Francisco, CA 94118",37.7726,-122.46,A favorite stop inside Golden Gate Park.,https://www.google.com/maps/search/?api=1&query=100%20John%20F%20Kennedy%20Dr%2C%20San%20Francisco%2C%20CA%2094118,https://conservatoryofflowers.org/
de Young Museum,"Architecture, Museums & Gardens",#A142F4,"50 Hagiwara Tea Garden Dr, San Francisco, CA 94118",37.7715,-122.4687,A favorite Golden Gate Park destination.,https://www.google.com/maps/search/?api=1&query=50%20Hagiwara%20Tea%20Garden%20Dr%2C%20San%20Francisco%2C%20CA%2094118,https://www.famsf.org/visit/de-young
San Francisco Botanical Garden,"Architecture, Museums & Gardens",#A142F4,"1199 9th Ave, San Francisco, CA 94122",37.7677,-122.4706,A favorite part of Golden Gate Park.,https://www.google.com/maps/search/?api=1&query=1199%209th%20Ave%2C%20San%20Francisco%2C%20CA%2094122,https://gggp.org/visit/garden/
Palace of Fine Arts,"Architecture, Museums & Gardens",#A142F4,"3601 Lyon St, San Francisco, CA 94123",37.8029,-122.4484,Exceptional architecture.,https://www.google.com/maps/search/?api=1&query=3601%20Lyon%20St%2C%20San%20Francisco%2C%20CA%2094123,https://palaceoffinearts.com/
Legion of Honor,"Architecture, Museums & Gardens",#A142F4,"100 34th Ave, San Francisco, CA 94121",37.7845,-122.5008,A favorite museum and architectural setting.,https://www.google.com/maps/search/?api=1&query=100%2034th%20Ave%2C%20San%20Francisco%2C%20CA%2094121,https://www.famsf.org/visit/legion-of-honor
Cathedral of Saint Mary of the Assumption,"Architecture, Museums & Gardens",#A142F4,"1111 Gough St, San Francisco, CA 94109",37.784,-122.4254,Do not just see the exterior—go inside.,https://www.google.com/maps/search/?api=1&query=1111%20Gough%20St%2C%20San%20Francisco%2C%20CA%2094109,https://www.stmarycathedralsf.org/
Transamerica Pyramid,"Architecture, Museums & Gardens",#A142F4,"600 Montgomery St, San Francisco, CA 94111",37.7952,-122.4028,A favorite San Francisco building.,https://www.google.com/maps/search/?api=1&query=600%20Montgomery%20St%2C%20San%20Francisco%2C%20CA%2094111,https://www.transamericapyramid.com/
Transamerica Redwood Park,"Architecture, Museums & Gardens",#A142F4,"Transamerica Redwood Park, San Francisco, CA",37.7954,-122.4036,A great small redwood park beside the pyramid.,https://www.google.com/maps/search/?api=1&query=Transamerica%20Redwood%20Park%2C%20San%20Francisco%2C%20CA,https://www.transamericapyramid.com/redwood-park
Salesforce Park,"Architecture, Museums & Gardens",#A142F4,"Salesforce Park, 425 Mission St, San Francisco, CA 94105",37.7897,-122.3968,A cool elevated urban park.,https://www.google.com/maps/search/?api=1&query=Salesforce%20Park%2C%20425%20Mission%20St%2C%20San%20Francisco%2C%20CA%2094105,https://salesforcetransitcenter.com/salesforce-park/
Hyatt Regency San Francisco,"Architecture, Museums & Gardens",#A142F4,"5 Embarcadero Center, San Francisco, CA 94111",37.7947,-122.3957,Go inside to see the enormous atrium and architecture.,https://www.google.com/maps/search/?api=1&query=5%20Embarcadero%20Center%2C%20San%20Francisco%2C%20CA%2094111,https://www.hyatt.com/hyatt-regency/en-US/sfors-hyatt-regency-san-francisco
Tartine Bakery,Food & Pastry,#F4511E,"600 Guerrero St, San Francisco, CA 94110",37.7614,-122.4241,"Favorites: avocado tartine, salmon tartine, country loaf, and the orange or apricot jam.",https://www.google.com/maps/search/?api=1&query=600%20Guerrero%20St%2C%20San%20Francisco%2C%20CA%2094110,https://tartinebakery.com/san-francisco/bakery
Arsicault Bakery — Inner Richmond,Food & Pastry,#F4511E,"397 Arguello Blvd, San Francisco, CA 94118",37.7826,-122.4595,"Absolute favorite pastries, especially the pain au chocolat.",https://www.google.com/maps/search/?api=1&query=397%20Arguello%20Blvd%2C%20San%20Francisco%2C%20CA%2094118,https://arsicault-bakery.com/locations/
Loquat,Food & Pastry,#F4511E,"198 Gough St, San Francisco, CA 94102",37.775018,-122.42251,Especially amazing for the babka.,https://www.google.com/maps/search/?api=1&query=198%20Gough%20St%2C%20San%20Francisco%2C%20CA%2094102,https://loquatsf.com/
Maison Nico,Food & Pastry,#F4511E,"710 Montgomery St, San Francisco, CA 94111",37.795801,-122.403167,Especially recommended for the quiche and croissants.,https://www.google.com/maps/search/?api=1&query=710%20Montgomery%20St%2C%20San%20Francisco%2C%20CA%2094111,https://maisonnico.com/
Craftsman and Wolves — Valencia,Food & Pastry,#F4511E,"746 Valencia St, San Francisco, CA 94110",37.7608,-122.4215,A favorite pastry stop.,https://www.google.com/maps/search/?api=1&query=746%20Valencia%20St%2C%20San%20Francisco%2C%20CA%2094110,https://craftsman-wolves.com/san-francisco-mission-craftsman-and-wolves-locations
